connections_version;connection_from;connection_fromLane;connection_to;connection_toLane
1.9;gneE105;0;655030378#1;1
1.9;gneE109;;;
1.9;gneE11;0;-370073257;0
1.9;gneE11;0;370073259;1
1.9;gneE111;0;4275522#8;0
1.9;gneE111;0;-4275522#7;0
1.9;gneE114;;;
1.9;gneE116;0;-299265214#1;0
1.9;gneE116;0;143575041;0
1.9;gneE116;1;143575041;1
1.9;gneE116;2;591566053;0
1.9;gneE12;0;4275522#1;0
1.9;gneE12;1;143065613#1;0
1.9;gneE12;2;143065613#1;1
1.9;gneE12;3;143065614#7;0
1.9;gneE12;4;143065614#7;1
1.9;gneE12;5;51215083#1;1
1.9;gneE121;0;591566053.5;0
1.9;gneE128;;;
1.9;gneE129;0;-194683757#2;0
1.9;gneE129;0;139083723#0;0
1.9;gneE129;0;139083723#0;1
1.9;gneE129;0;139083723#0;2
1.9;gneE129;0;139083723#0;3
1.9;gneE13;0;gneE13.48;0
1.9;gneE13;0;gneE13.48;1
1.9;gneE13;1;gneE13.48;2
1.9;gneE13;1;gneE13.48;3
1.9;gneE13.48;0;22790157;0
1.9;gneE13.48;1;22790157;0
1.9;gneE13.48;2;22790157;1
1.9;gneE13.48;3;22790157;2
1.9;gneE130;;;
1.9;gneE134;0;gneE26;2
1.9;gneE136;0;-166506065;0
1.9;gneE136;0;32981087#0;0
1.9;gneE136;1;-22661122#1;0
1.9;gneE136;1;43118572#0;1
1.9;gneE137;0;25478404;0
1.9;gneE137;1;74543943#0;1
1.9;gneE138;;;
1.9;gneE139;0;gneE141;0
1.9;gneE139;0;22649712#1;0
1.9;gneE139;0;22649704#1;1
1.9;gneE14;0;-gneE13;0
1.9;gneE14;0;-gneE13;1
1.9;gneE14;1;-gneE13;2
1.9;gneE140;0;22649712#1;0
1.9;gneE140;0;22649704#1;1
1.9;gneE140;0;gneE138;0
1.9;gneE141;;;
1.9;gneE142;0;50381783#1;0
1.9;gneE142;1;50381783#1;1
1.9;gneE144;0;6243477#1;0
1.9;gneE15;0;gneE15.62;0
1.9;gneE15;1;gneE15.62;1
1.9;gneE15;2;gneE15.62;2
1.9;gneE15;3;gneE15.62;3
1.9;gneE15;3;gneE15.62;4
1.9;gneE15.62;0;gneE12;0
1.9;gneE15.62;0;gneE12;1
1.9;gneE15.62;1;gneE12;2
1.9;gneE15.62;2;gneE12;3
1.9;gneE15.62;3;gneE12;4
1.9;gneE15.62;4;gneE12;5
1.9;gneE153;0;142954620;0
1.9;gneE153;1;142954620;1
1.9;gneE156;0;566711303#1;0
1.9;gneE156;1;566711303#1;1
1.9;gneE156;1;566711303#1;2
1.9;gneE157;0;-142954620;0
1.9;gneE26;0;gneE21;0
1.9;gneE26;1;43118542;0
1.9;gneE26;2;43118542;1
1.9;gneE3;;;
1.9;gneE36;0;-521045499#0;0
1.9;gneE4;0;28180143;0
1.9;gneE4;1;28180143;1
1.9;gneE4;2;415667202;0
1.9;gneE4;3;415667202;1
1.9;gneE5;0;gneE7;0
1.9;gneE50;0;-39088985#0;0
1.9;gneE53;0;gneE50;0
1.9;gneE7;0;gneE8;0
1.9;gneE8;0;gneE9;0
1.9;gneE87;0;252843127#0;0
1.9;gneE87;1;252843127#0;1
1.9;gneE87;1;252843127#0;2
1.9;gneE89;0;139056863#1;0
1.9;gneE89;0;139056863#1;1
1.9;gneE89;1;252843128#1;0
1.9;gneE89;2;252843128#1;1
1.9;gneE9;0;gneE10;0
1.9;gneE91;0;252843138#4;0
1.9;gneE91;1;252843138#4;1
1.9;gneE91;1;-252843138#2;1
1.9;gneE93;0;252843138#6;0
1.9;gneE93;0;-252843138#5;1
1.9;gneE94;0;457986148#0;0
1.9;gneE94;1;457986148#0;1
1.9;gneE94;2;457986148#0;2
1.9;gneE95;;;
