connections_version;connection_from;connection_fromLane;connection_to;connection_toLane
1.9;139083727#1;0;139083727#2;1
1.9;139083727#1;1;139083727#2;2
1.9;139083727#2;0;370073260#0;0
1.9;139083727#2;1;370073260#0;1
1.9;139083727#2;2;370073260#0;2
1.9;139169789#0;0;39088985#0;0
1.9;139169789#0;1;39088985#0;1
1.9;139169789#0;1;39088985#0;2
1.9;142677514#0;0;142677514#1;0
1.9;142677514#0;1;142677514#1;1
1.9;142677514#0;1;142677514#1;2
1.9;142677514#1;0;-551319347#5;0
1.9;142677514#1;0;139083714#0;0
1.9;142677514#1;1;139083714#0;1
1.9;142677514#1;2;139083714#0;2
1.9;142677514#1;2;44135328#0;1
1.9;142677518;0;142677518.23;0
1.9;142677518;1;142677518.23;0
1.9;142677518.23;0;-362127466#2;0
1.9;142677518.23;0;26615914#0;0
1.9;142677520;0;591198226;0
1.9;142677520;0;591198226;1
1.9;142677520;0;472397652#0;0
1.9;142677520;1;472397652#0;1
1.9;142677530#1;0;142677531;0
1.9;142677530#1;1;142677531;1
1.9;142677531;0;22964540;0
1.9;142677531;1;22964540;1
1.9;142944224#0;0;142944224#1;0
1.9;142944224#0;1;142944224#1;1
1.9;142944224#1;0;142944224#3;0
1.9;142944224#1;1;142944224#3;1
1.9;142944224#3;0;23925231;0
1.9;142944224#3;1;23925231;1
1.9;142944343#1;0;142677520;0
1.9;142944343#1;1;142677520;1
1.9;142944367;0;142944405;0
1.9;142944367;1;142944405;1
1.9;142944367;2;142944405;2
1.9;142944402;0;142944409;0
1.9;142944402;1;142944409;1
1.9;142944402;2;142944409;2
1.9;142944402;3;142944409;3
1.9;142944405;0;43145234;0
1.9;142944405;1;43145234;1
1.9;142944405;2;43145234;2
1.9;142944409;0;22672043#0;0
1.9;142944409;1;22672043#0;1
1.9;142944409;2;22672043#0;2
1.9;142944409;2;164239562#0;0
1.9;142944409;3;164239562#0;1
1.9;142954620;0;gneE156;0
1.9;142954620;1;gneE156;1
1.9;142954639#0;0;142954639#1;0
1.9;142954639#0;1;142954639#1;1
1.9;142954639#0;1;4919145;0
1.9;142954639#1;0;142954639#2;0
1.9;142954639#1;1;142954639#2;1
1.9;142954639#1;1;142954639#2;2
1.9;142954639#2;0;142954639#3;0
1.9;142954639#2;1;142954639#3;1
1.9;142954639#2;2;5217066;0
1.9;142954639#3;0;142954639#4;0
1.9;142954639#3;1;142954639#4;1
1.9;142954639#4;0;142954639#5;0
1.9;142954639#4;1;142954639#5;1
1.9;142954639#5;0;142954639#6;0
1.9;142954639#5;1;142954639#6;1
1.9;142954639#6;0;142954639#7;0
1.9;142954639#6;1;142954639#7;1
1.9;142954639#7;0;142954639#8;0
1.9;142954639#7;1;142954639#8;1
1.9;142954639#8;0;143065626;0
1.9;142954639#8;1;143065626;1
1.9;142954643;0;76034972;0
1.9;142954643;1;76034972;1
1.9;142954643;2;76034972;2
1.9;142954643;3;76034972;3
1.9;142954643;3;76034972;4
1.9;142954644#1;0;142954644#2;0
1.9;142954644#1;1;142954644#2;1
1.9;142954644#2;0;142954644#3;0
1.9;142954644#2;1;142954644#3;1
1.9;142954644#3;0;370073261#0;0
1.9;142954644#3;1;370073261#0;1
1.9;142954649#3;;;
1.9;143065613#1;0;43664476#1;0
1.9;143065613#1;1;43664476#1;1
1.9;143065614#7;0;143065614#8;0
1.9;143065614#7;1;143065614#8;1
1.9;143065614#8;0;143065638#2;0
1.9;143065614#8;1;143065638#2;1
1.9;143065626;0;39977142;0
1.9;143065626;1;39977142;1
1.9;143065626;1;39977142;2
1.9;143065626;1;512394704;1
1.9;143065626;1;512394704;2
1.9;143065638#2;;;
1.9;143575041;0;45188125#0;0
1.9;143575041;1;45188125#0;1
1.9;143575041;1;45188125#0;2
1.9;143575108;0;-13792152#1;0
1.9;144911428#0;0;172289065#1;0
1.9;144911428#0;0;35744220#1;0
1.9;144911428#0;1;43145233#1;2
1.9;156559295#0;0;156559295#1;0
1.9;156559295#0;1;156559295#1;1
1.9;156559295#0;2;156559295#1;2
1.9;156559295#1;0;156559304#0;0
1.9;156559295#1;1;401531644;0
1.9;156559295#1;2;401531644;1
1.9;156559304#0;0;495849380;0
1.9;156559304#0;1;26810757#0;0
1.9;156559304#0;2;26810757#0;1
1.9;158325319#0;0;158325319#2;0
1.9;158325319#0;1;158325319#2;1
1.9;158325319#0;2;158325319#2;2
1.9;158325319#2;0;20439102#0;0
1.9;158325319#2;1;158325320#1;0
1.9;158325319#2;2;44523403#1;2
1.9;158325325;0;158325327#0;0
1.9;158325325;1;158325327#0;1
1.9;158325325;2;158325327#0;2
1.9;158325327#0;0;-144911428#0;0
1.9;158325327#0;0;172289065#1;0
1.9;158325327#0;1;172289065#1;1
1.9;158325327#0;2;172289065#1;2
1.9;158325332#1;0;158325332#2;0
1.9;158325332#2;;;
1.9;158325336#0;0;158325336#1;0
1.9;158325336#1;;;
1.9;158822885#0;0;158822885#1;0
1.9;158822885#0;1;158822885#1;1
1.9;158822885#1;0;158822885#2;0
1.9;158822885#1;1;158822885#2;1
1.9;158822885#2;0;22653476#1;0
1.9;158822885#2;1;22649703#6;0
1.9;158822885#2;1;22649703#6;1
1.9;158822885#2;1;22649703#6;2
